Collector,Site,Julian,Year,Date,DateCollector,Location,Number,OldNumber,PIT,PITnew,BurrowNo,Burrow Synonym,Lat,Long,Status,EstimatedAge,KnownAge,Sex,AgeSex,ReproSex,Mass,Clmax,Clmid,BridgeWidth,Thickness,Pltotal,Plmid,TotalLength,Concavity,Plasma,UDBA,BloodT,CaptureTime,Nasal,Nail,Pics,BKA,Nares,Eyes,EyeLids,PerioC,Conjunctive,URTDscarring,DateTrapSet,DateTrapSetJG,Comments,Comments2
Guyer,1,35654,1997,12-Aug-97,8/12/1997,Conecuh National Forest,5,5,,,152,,31.15927700,-86.55449300,R,21,21,F,F,F,,25.4,,,,26.3,,,,,,,,,,,,,,,,,,,,more than 17,
Guyer,1,36017,1998,10-Aug-98,8/10/1998,Conecuh National Forest,5,5,,,260,,31.15865600,-86.55379300,R,22,22,F,F,F,3326,26.6,,,,26.9,,,,,,,,,,,,,,,,,,,,,
Goessling,1,41438,2013,13-Jun-13,20130613,Conecuh National Forest,5,5,,,220,,31.15947912,-86.55463405,R,>,37,F,F,F,4235.6,26.1,,224,117,26.2,29.8,,6,Y,,155,NA,Y,Y,53-59,68.6,,,,,,,11-Jun-13,20130611,BU16,
Goessling,1,42944,2016,28-Jul-16,7282016,Conecuh National Forest,5,5,,,750,,31.15932800,-86.55398800,R,old,40,F,F,F,4150,28.7,,226,118,28.4,26.7,30.0,7,y fem,udb,100,,n,n,1592-1594,,0,0,0,0,0,,25-Jul-16,7252016,"weird nuchal scute; maybe broken drill/file at anal scute (""40"")",
Goessling,1,43029,2017,21-Oct-17,10212017,Conecuh National Forest,5,5,,,228.1,,31.15903,-86.55488,R,old,41,F,F,F,4554,28.2,,226,118,28.6,26.3,29.8,7,Y,N,110,16:10,N,N,2109-2118,,0,0,0,0,0,MOD EROSION BOTH,16-Oct-17,10162017,"MISSHAPED NUCHAL, OLD DAMAGE TO TOP LEFT JAW. 2 FR, 1 FL REGROWING CLAWS. ",OLD (>20)
Goessling,1,43333,2018,21-Aug-18,8212018,Conecuh National Forest,5,5,43-162884,Y,205,,31.16027,-86.55477,R,old,42,F,F,F,4533,28.3,28.0,227,131,28.5,26.3,29.9,6,Y,N,110,1455,no,no,JG phone,,0,0,0,0,0,MOD EROSION,20-Aug-18,8202018,"INJURY LEFT SIDE OF FACE, NUCHAL WEIRD SHAPE",
Goessling,1,43990,2020,8-Jun-20,06/08/20,Conecuh National Forest,5,5,43-162884,N,761,,31.15914344,-86.55588281,R,old,44,F,F,F,4596,28.3,28.0,226,117,28.3,26.2,29.7,8,Y,,390s,Not Recorded,,,JG Phone,,0,0,0,0,0,Mild asymm.,6-Jun-20,06/06/20,Stressed/foamy; ripped jaw; radiographed w/ eggs,
Guyer,1,33417,1991,28-Jun-91,6/28/1991,Conecuh National Forest,7,7,,,294,,31.16023500,-86.55507500,N,25,,M,M,M,2150,21.7,,,,23.5,,,,,,,,,,,,,,,,,,,,more than 25; too worn,
Guyer,1,33431,1991,12-Jul-91,7/12/1991,Conecuh National Forest,7,7,,,227,,31.16021299,-86.55488197,R,25,,M,M,M,2302,22.0,,,,23.2,,,,,,,,,,,,,,,,,,,,too worn to count rings,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,7,7,,,262,,31.15960200,-86.55474700,R,26,,M,M,M,2314,22.3,,,,23.5,,,,,,,,,,,,,,,,,,,,more than 20; too worn,
Guyer,1,34194,1993,13-Aug-93,8/13/1993,Conecuh National Forest,7,7,,,243,,31.15903000,-86.55404800,R,27,,M,M,M,2366,22.2,,,,23.4,,,,,,,,,,,,,,,,,,,,more than 20; too worn,
Guyer,1,34199,1993,18-Aug-93,8/18/1993,Conecuh National Forest,7,7,,,227,,31.16021299,-86.55488197,R,27,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34513,1994,28-Jun-94,6/28/1994,Conecuh National Forest,7,7,,,249,,31.15842700,-86.55389700,R,28,,M,M,M,2310,22.1,,,,23.6,,,,,,,,,,,,,,,,,,,,more than 16,
Guyer,1,35651,1997,9-Aug-97,8/9/1997,Conecuh National Forest,7,7,,,220,,31.15947912,-86.55463405,R,31,,M,M,M,,25.2,,,,25.7,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,36017,1998,10-Aug-98,8/10/1998,Conecuh National Forest,7,7,,,135,,31.15844900,-86.55318600,R,32,,M,M,M,2309,22.3,,,,23.8,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1,36017,2013,10-Aug-98,8/10/1998,Conecuh National Forest,7,7,,,735,,31.158487,-86.553783,R,old,,M,M,M,2547.9,22.2,,180,102,21.5,25.2,,9,Y,,183,NA,Y,Y,39-47,75.7,,,,,,,,,BU19,
Guyer,1,33421,1991,2-Jul-91,7/2/1991,Conecuh National Forest,9,9,,,269,,31.15888200,-86.55440800,N,15,,M,JM,J,900,16.8,,,,16.7,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,9,9,,,152,,31.159277,-86.554493,R,16,,M,JM,J,975,17.6,,,,17.7,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34191,1993,10-Aug-93,8/10/1993,Conecuh National Forest,9,9,,,152,,31.159277,-86.554493,R,17,,M,M,M,1144,19.0,,,,19.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34512,1994,27-Jun-94,6/27/1994,Conecuh National Forest,9,9,,,220,,31.15947912,-86.55463405,R,18,,M,M,M,1299,19.3,,,,19.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34514,1994,29-Jun-94,6/29/1994,Conecuh National Forest,9,9,,,152,,31.159277,-86.554493,R,18,,M,M,M,1280,19.1,,,,19.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33422,1991,3-Jul-91,7/3/1991,Conecuh National Forest,10,10,,,NA,,NA,NA,N,15,,J,J,J,732,14.6,,,,15.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33422,1991,3-Jul-91,7/3/1991,Conecuh National Forest,11,11,,,232,,31.15921200,-86.55494300,N,4,,F,JF,J,228,9.8,,,,9.8,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,11,11,,,232,,31.15921200,-86.55494300,R,5,,F,JF,J,305,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33853,1992,6-Sep-92,9/6/1992,Conecuh National Forest,11,11,,,613,,31.15941900,-86.55517400,R,5,,F,JF,J,318,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34191,1993,10-Aug-93,8/10/1993,Conecuh National Forest,11,11,,,683,,31.15952800,-86.55528400,R,6,,F,JF,J,349,11.5,,,,11.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34524,1994,9-Jul-94,7/9/1994,Conecuh National Forest,11,11,,,943,,31.16008400,-86.55522900,R,7,,F,JF,J,365,11.6,,,,11.7,,,,,,,,,,,,,,,,,,,,listed as 6 on sheet and tape confirms it; entered 7 because of 1992 tape age,
Guyer,1,34825,1995,6-May-95,5/6/1995,Conecuh National Forest,11,11,,,683,,31.15952800,-86.55528400,R,8,,F,JF,J,,14.0,,,,,,,,,,,,,,,,,,,,,,,,listed as 7 on sheet; no tape; age based 1992 tape,
Guyer,1,35654,1997,12-Aug-97,8/12/1997,Conecuh National Forest,11,11,,,843,,31.16008900,-86.55521400,R,10,,F,JF,J,,15.9,,,,15.7,,,,,,,,,,,,,,,,,,,,listed as 12 on sheet; no tape; age based on 1992 tape,
Guyer,1.1,33426,1991,7-Jul-91,7/7/1991,Conecuh National Forest,12,12,,,298,,31.15739600,-86.55111900,N,22,,M,M,M,4004,27.6,,,,27.5,,,,,,,,,,,,,,,,,,,,more than 22,
Guyer,1,33427,1991,8-Jul-91,7/8/1991,Conecuh National Forest,13,13,,,236,,31.15899700,-86.55492300,N,20,,F,F,F,4557,28.5,,,,26.7,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,13,13,,,294,,31.16023500,-86.55507500,R,21,,F,F,F,4584,28.5,,,,26.8,,,,,,,,,,,,,,,,,,,,more than 20; can't age accurately,
Guyer,1,34203,1993,22-Aug-93,8/22/1993,Conecuh National Forest,13,13,,,755,,31.15879714,-86.55496593,R,22,,F,F,F,4110,28.6,,,,26.7,,,,,,,,,,,,,,,,,,,,too worn to tell age,
Goessling,1,43336,2018,24-Aug-18,8242018,Conecuh National Forest,13,13,43-162800,Y,203,,31.160084,-86.55528,R,old,,F,F,F,4673,29.3,29.1,233,124,27.6,26,30.1,7,Y,N,120,1515,no,no,JG phone,,0,0,0,0,0,MILD ASYMM,19-Aug-18,8192018,"DRILL HOLE IN CENTER OF ANAL SCUTE (POS ""40"")",
Goessling,1,43999,2020,17-Jun-20,06/17/20,Conecuh National Forest,13,13,43-162800,N,750,,31.15932800,-86.55398800,R,old,,F,F,F,4496,29.3,,,,,,,,N,,,,,,,,,,,,,,Hand captured,,"7 eggs laid 17 June 20; watery eyes; nested, symptoms not scored; v-shaped notch in BL10, not ours; egg weight= 44",
Guyer,1,33429,1991,10-Jul-91,7/10/1991,Conecuh National Forest,15,15,,,222,,31.15899506,-86.55590924,N,10,,F,JF,J,579,14.5,,,,13.8,,,,,,,,,,,,,,,,,,,,?FEMALE,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,15,15,,,522,,31.15955700,-86.55553200,R,11,,F,JF,J,794,16.2,,,,15.7,,,,,,,,,,,,,,,,,,,,?,
Guyer,1,33414,1991,25-Jun-91,6/25/1991,Conecuh National Forest,16,6,,,238,,31.15855400,-86.55437000,N,23,,M,M,M,2700,23.9,,,,23.8,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33427,1991,8-Jul-91,7/8/1991,Conecuh National Forest,16,6,,,249,,31.15842700,-86.55389700,R,23,,M,M,M,2634,23.9,,,,23.9,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33428,1991,9-Jul-91,7/9/1991,Conecuh National Forest,16,6,,,245,,31.15884800,-86.55454900,R,23,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,16,6,,,270,,31.15869100,-86.55425700,R,24,,M,M,M,2522,23.9,,,,23.8,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35262,1996,16-Jul-96,7/16/1996,Conecuh National Forest,16,6,,,206,,31.15941434,-86.55394622,R,28,,M,M,M,2765,24.2,,,,23.9,,,,,,,,,,,,,,,,,,,,more than 17,
Guyer,1,35654,1997,12-Aug-97,8/12/1997,Conecuh National Forest,16,6,,,992,,31.15876900,-86.55407700,R,29,,M,M,M,,22.5,,,,23.7,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,36014,1998,7-Aug-98,8/7/1998,Conecuh National Forest,16,6,,,390,,31.15931000,-86.55408000,R,30,,M,M,M,2677,24.3,,,,24.1,,,,,,,,,,,,,,,,,,,,,
Goessling,1,43332,2018,20-Aug-18,8202018,Conecuh National Forest,16,16,43-162845,Y,220,,31.15947912,-86.55463405,R,old,,M,M,M,2862,24.5,24.2,192,107,23.3,21.8,25.3,11,Y,UDB,190,1045,no,no,JG phone,,0,0,0,0,0,MOD EROSION,19-Aug-18,8192018,"R FRONT #2 REGROWING, LEFT FRONT #3 BROKEN OFF IN TRAP. MILD DYSKER.",
Goessling,1,43987,2020,5-Jun-20,06/05/20,Conecuh National Forest,16,16,43-162845,N,227,,31.16021299,-86.55488197,R,old,,M,M,M,2882,24.5,24.4,192,107,23.1,21.9,25.4,11,Y,,100s,11:33,,,JG Phone,,0,0,0,0,0,2 Moderate erosion,4-Jun-20,06/04/20,"Stressed in trap, foam from mouth; moderate dysker.; regrowing claws on both front; everting penis",
Guyer,1,35264,1996,18-Jul-96,7/18/1996,Conecuh National Forest,20,20,,,394,,NA,NA,N,1,,J,J,J,54,6.3,,,,6.0,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35269,1996,23-Jul-96,7/23/1996,Conecuh National Forest,21,21,,,750,,31.15932800,-86.55398800,N,1,,J,J,J,57,6.6,,,,6.2,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35269,1996,23-Jul-96,7/23/1996,Conecuh National Forest,22,22,,,287,,31.15821000,-86.55183000,N,22,,F,F,F,2971,25.4,,,,24.8,,,,,,,,,,,,,,,,,,,,,
Guyer,1,36014,1998,7-Aug-98,8/7/1998,Conecuh National Forest,22,22,,,955,,31.15995000,-86.55432000,R,24,,F,F,F,3437,26.0,,,,25.6,,,,,,,,,,,,,,,,,,,,more than 24,
Goessling,1,43336,2018,24-Aug-18,8242018,Conecuh National Forest,22,2,43-162932,Y,218,,31.15958403,-86.55441938,R,>25,,F,F,F,3940,27.4,26.9,213,118,26.5,24.7,28.3,8,Y,N,70,1040,no,no,JG phone,,?,0,0,0,0,MILD EROSION,19-Aug-18,8192018,MILD DYSKER. NARES NOT SCORED BECAUSE BUBBLY. May be bubly from stress or URTD.,
Goessling,1,43994,2020,12-Jun-20,06/12/20,Conecuh National Forest,22,2,43-162932,N,218,,31.15958403,-86.55441938,R,old,,F,F,F,3645.2,27.3,27.2,214,116,26.5,25.2,28.3,9,Y,,240s,15:00,,,JG Phone,,0,0,0,0,0,Moderate erosion,5-Jun-20,06/05/20,Must be 22 not 2,
Guyer,1.1,35270,1996,24-Jul-96,7/24/1996,Conecuh National Forest,24,24,,,500,,31.15883000,-86.55913000,N,2,,J,J,J,66,6.8,,,,6.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35278,1996,1-Aug-96,8/1/1996,Conecuh National Forest,28,28,,,503,,31.15950900,-86.55425900,N,2,,J,J,J,68,7.1,,,,6.8,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35316,1996,8-Sep-96,9/8/1996,Conecuh National Forest,30,30,,,NA,,NA,NA,N,20,,F,F,F,5902,26.7,,,,25.8,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1.1,33427,1991,8-Jul-91,7/8/1991,Conecuh National Forest,50.1,50,,,223,,31.15729000,-86.55916000,N,5,,J,J,J,,8.6,,,,8.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34191,1993,10-Aug-93,8/10/1993,Conecuh National Forest,50.1,50,,,567,,31.159509,-86.556113,R,7,,J,J,J,364,12.5,,,,12.6,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34524,1994,9-Jul-94,7/9/1994,Conecuh National Forest,50.1,50,,,671,,NA,NA,R,8,,J,J,J,468,13.4,,,,13.5,,,,,,,,,,,,,,,,,,,,sheet listed age as 7 with tape; entered date is based on 1991 age,No coordinates
Guyer,1,35248,1996,2-Jul-96,7/2/1996,Conecuh National Forest,50.2,50,,,988,,31.15922465,-86.55523226,N,1,,J,J,J,57,6.4,,,,6.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35317,1996,9-Sep-96,9/9/1996,Conecuh National Forest,60,60,,,402,,31.15983800,-86.55538000,N,1,,J,J,J,101,6.3,,,,6.2,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33421,1991,2-Jul-91,7/2/1991,Conecuh National Forest,68,8,,,204,,31.16014000,-86.55532000,N,22,,F,F,F,2900,25.9,,,,26.0,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,68,8,,,236,,31.15899700,-86.55492300,R,23,,F,F,F,3124,26.2,,,,26.3,,,,,,,,,,,,,,,,,,,,more than 21,
Goessling,1,41439,2013,14-Jun-13,20130614,Conecuh National Forest,68,8,,,780,,31.158825,-86.553768,R,old,,F,F,F,4275.1,28.9,,233,121,25.9,30.2,,6,Y,,540,NA,Y,Y,75-80,45.7,,,,,,,10-Jun-13,20130610,BU05,
Goessling,1,42577,2016,26-Jul-16,7262016,Conecuh National Forest,68,68,,,9525,,31.15832,-86.55327,R,>30,,F,F,F,4532.7,29.7,,229,117,29.6,26.7,30.8,9,y,udb,106,morning 1015,n,n,1566-1567,,0,0,0,0,0,,25-Jul-16,7252016,"refiled bot notches: definite file at ""8"" (2 R front marginal), probable file at ""60"" (2 R rear marginal)",
Goessling,1,43334,2018,22-Aug-18,8222018,Conecuh National Forest,68,68,43-162873,Y,756,,31.15878,-86.55362,R,old,,F,F,F,4572,29.6,29.4,234,121,29.7,26.6,30.7,8,Y,N,90,1110,no,no,JG phone,,0,0,0,0,0,N,19-Aug-18,8192018,,
Goessling,1,43995,2020,13-Jun-20,06/13/20,Conecuh National Forest,68,68,43-162873,Y,735,,31.158487,-86.553783,R,old,,F,F,F,4704,29.7,29.7,227,119,29.6,26.7,30.9,7,Y,,240s,15:15,,,JG Phone,,0,0,0,0,0,0,11-Jun-20,06/11/20,No eggs via palpation,
Guyer,1,33849,1992,2-Sep-92,9/2/1992,Conecuh National Forest,95,95,,,607,,31.15866200,-86.55462900,N,15,,F,F,F,2947,25.2,,,,24.3,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34194,1993,13-Aug-93,8/13/1993,Conecuh National Forest,95,95,,,245,,31.15884800,-86.55454900,R,16,,F,F,F,3174,25.7,,,,24.8,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1,34509,1994,24-Jun-94,6/24/1994,Conecuh National Forest,95,95,,,607,,31.15866200,-86.55462900,R,17,,F,F,F,3226,25.6,,,,25.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34564,1994,18-Aug-94,8/18/1994,Conecuh National Forest,95,95,,,1000,,31.15852000,-86.55427400,R,17,,F,F,F,3274,26.3,,,,25.2,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1,35648,1997,6-Aug-97,8/6/1997,Conecuh National Forest,95,95,,,1000,,31.15852000,-86.55427400,R,20,,F,F,F,,28.1,,,,26.3,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,36012,1998,5-Aug-98,8/5/1998,Conecuh National Forest,95,95,,,607,,31.15866200,-86.55462900,R,21,,F,F,F,4286,28.5,,,,27.2,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,36014,1998,7-Aug-98,8/7/1998,Conecuh National Forest,95,95,,,245,,31.15884800,-86.55454900,R,21,,F,F,F,4101,28.3,,,,27.2,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,97,97,,,245,,31.15884800,-86.55454900,N,16,,M,M,M,2977,25.2,,,,25.3,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33854,1992,7-Sep-92,9/7/1992,Conecuh National Forest,97,97,,,235,,31.15898400,-86.55617600,R,16,,M,M,M,3025,24.7,,,,25.1,,,,,,,,,,,,,,,,,,,,scutes too worn to measure,
Guyer,1,35272,1996,26-Jul-96,7/26/1996,Conecuh National Forest,97,97,,,237,,31.15959900,-86.55515200,R,20,,M,M,M,2947,25.3,,,,25.5,,,,,,,,,,,,,,,,,,,,more than 20,four eggs found in burow entrance
Guyer,1,35668,1997,26-Aug-97,8/26/1997,Conecuh National Forest,97,97,,,218,,31.15958403,-86.55441938,R,21,,M,M,M,2974,25.2,,,,23.5,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,36013,1998,6-Aug-98,8/6/1998,Conecuh National Forest,97,97,,,100,,NA,NA,R,22,,M,M,M,3130,25.5,,,,25.6,,,,,,,,,,,,,,,,,,,,more than 15,CANNON PISSER; COORDINATES LOST
Goessling,1,43326,2018,14-Aug-18,8142018,Conecuh National Forest,97,97,43-162973,Y,229,,31.158915,-86.554596,R,old,,M,M,M,3313,25.4,25.3,193,110,35.6,23.7,27.3,11,Y,N,240,1410,no,no,JG phone,,0,0,0,0,0,N,13-Aug-18,8132018,,
Goessling,1,44000,2020,18-Jun-20,06/18/20,Conecuh National Forest,97,97,43-162973,N,229,,31.158915,-86.554596,R,old/very old,,M,M,M,3347,25.7,25.5,193,111,25.6,23.6,27.3,11,N,,,1542,,,JG phone,,0,0,0,0,0,Mild erosion,16-Jun-20,6/16/20,Whole blood for DNA; no plasma; palpated- no eggs,
Guyer,1,33853,1992,6-Sep-92,9/6/1992,Conecuh National Forest,98,98,,,629,,NA,NA,N,7,,J,J,J,522,14.0,,,,14.3,,,,,,,,,,,,,,,,,,,,No coordinates,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,99,99,,,238,,31.15855400,-86.55437000,N,20,,M,M,M,2938,23.9,,,,24.0,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1,34192,1993,11-Aug-93,8/11/1993,Conecuh National Forest,99,99,,,227,,31.16021299,-86.55488197,R,21,,M,M,M,2878,23.9,,,,24.0,,,,,,,,,,,,,,,,,,,,more than 20; front left toenail previously broken; looks like its growing back,
Guyer,1,34207,1993,26-Aug-93,8/26/1993,Conecuh National Forest,99,99,,,237,,31.15959900,-86.55515200,R,21,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,captured by hand at 18:30; tortoise #7 is in burrows 237 and blocking #99 from entering,
Guyer,1,34501,1994,16-Jun-94,6/16/1994,Conecuh National Forest,99,99,,,NA,,NA,NA,R,22,,M,M,M,2883,23.9,,,,23.8,,,,,,,,,,,,,,,,,,,,too worn to count rings,
Guyer,1,35276,1996,30-Jul-96,7/30/1996,Conecuh National Forest,99,99,,,390,,31.15931000,-86.55408000,R,24,,M,M,M,2880,23.9,,,,24.0,,,,,,,,,,,,,,,,,,,,more than 20,
Guyer,1,35653,1997,11-Aug-97,8/11/1997,Conecuh National Forest,99,99,,,390,,31.15931000,-86.55408000,R,25,,M,M,M,,24.3,,,,24.2,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,35654,1997,12-Aug-97,8/12/1997,Conecuh National Forest,99,99,,,238,,31.15855400,-86.55437000,R,25,,M,M,M,,24.3,,,,24.2,,,,,,,,,,,,,,,,,,,,more than 18,
Guyer,1,35655,1997,13-Aug-97,8/13/1997,Conecuh National Forest,99,99,,,206,,31.15941434,-86.55394622,R,25,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,sheet not in notebook,
Guyer,1,35666,1997,24-Aug-97,8/24/1997,Conecuh National Forest,99,99,,,607,,31.15866200,-86.55462900,R,25,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,sheet not in notebook,
Guyer,1,36013,1998,6-Aug-98,8/6/1998,Conecuh National Forest,99,99,,,243,,31.15903000,-86.55404800,R,26,,M,M,M,3049,24.2,,,,24.2,,,,,,,,,,,,,,,,,,,,front left 3rd claw missing; inside claws on back 2 leg are nubs,
Guyer,1,33896,1992,19-Oct-92,10/19/1992,Conecuh National Forest,100,100,,,615,,NA,NA,N,3,3,M,JM,J,157,9.4,,,,9.9,,,,,,,,,,,,,,,,,,,,No coordinates,
Guyer,1,34194,1993,13-Aug-93,8/13/1993,Conecuh National Forest,100,100,,,615,,NA,NA,R,4,4,M,JM,J,209,10.6,,,,10.2,,,,,,,,,,,,,,,,,,,,No coordinates,
Guyer,1,35669,1997,27-Aug-97,8/27/1997,Conecuh National Forest,100,100,,,959,,31.16016500,-86.55458700,R,8,8,M,JM,J,688,16.2,,,,15.9,,,,,,,,,,,,,,,,,,,,,
Guyer,1,36013,1998,6-Aug-98,8/6/1998,Conecuh National Forest,100,100,,,959,,31.16016500,-86.55458700,R,9,9,M,JM,J,852,17.2,,,,17.1,,,,,,,,,,,,,,,,,,,,listed as age 8 on sheet; entered 9 based on 1992 age,
Guyer,1,35667,1997,25-Aug-97,8/25/1997,Conecuh National Forest,101,101,,,854,,31.16029000,-86.55504000,N,3,3,J,J,J,87,7.6,,,,7.5,,,,,,,,,,,,,,,,,,,,,
Guyer,1,35653,1997,11-Aug-97,8/11/1997,Conecuh National Forest,105,105,,,147,,31.15898400,-86.55617600,N,15,,M,M,M,,21.3,,,,22.3,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,106,106,,,204,,31.16014000,-86.55532000,N,-,,F,F,F,3090,26.0,,,,25.7,,,,,,,,,,,,,,,,,,,,too worn,
